branchCode,branchName,address1,districtId,stateId,isHub,phone1,phone2,address2,cityId
DRVD,DHARWAD,"RAVI PATEL, OLD APMC YARD, NEAR SHIVAJI CIRCLE,OPP.PEPSI GODOWN, DHARWAD",47,4,0,,,,
HBGR,HUBLI - GABBUR,"S.NO.57/3, KATHE NO.231, P.B.ROAD, BUDERSINGI ,VILLAGE, CHABBI HOBLI TALUK, DHARWAD DISTRICT - 28",47,4,0,,,,
HBG,HUBLI - GOKUL ROAD,"D.NO.25, GURUKRUPA COMPLEX, RAVI NAGAR,,NEAR AKSHAY PARK, HUBLI-580 030.",47,4,0,,,,
HBH,HUBLI - HEREPET,"CITY SURVEY NO. 2959/1, MUNICIPALITY NO.8300,NEAR RUDRASHA MATHAM1ST CROSS",47,4,0,,,,
HBN,HUBLI - NEW COTTON MARKET,"SHOP NO.2, KK COMPLEX, BEHIND SHARADA HOTEL,NEW COTTON MARKET, HUBBLI - 580029",47,4,0,,,,
GDG,GADAG,"6655/2A JT COLLEGE ROAD,NEAR BELLARY GATE, GADAG-582 101",48,4,0,,,,
GJGD,GAJENDRAGAD,"D.NO.445/C (ELECTRICITY CONSUMER NO.625145),NEAR BSNL OFFICE, NAVANAGAR GJGD, KARNATAKA",48,4,0,,,,
BDGI,BYADAGI,"PLOT - 167, RATTIHALLI ROAD, GANDHI NAGAR,,BYADGI - 581 106",49,4,0,,,,
HVRI,HAVERI,"SURVEY NO.3317/C,PLOT NO.78/2,S.C.MAGAVI GODOWN,1ST CROSS 1ST MAIN,DHANESWARI NAGAR,HAVERI",49,4,0,,,,
RNBR,RANEBENNUR,"SHRI RAM COMPLEX, H.NO.4, JADHAV BUILDING,,NEAR DEVIKA SCHOOL, HALAGERI ROAD, RANEBENNUR.",49,4,0,,,,
KPPL,KOPPAL,"M.B.NO.7-1-30/A, FIFTH GATE, S.G.GUNJ ,(APMC YARD), KOPPAL, KARNATAKA",35,4,0,,,,
BDVT,BHADRAVATHI,"SHOP NO.1923, OSM ROAD, 03RD CROSS, OLD TOWN,NEAR VALLUVAR KALYAN MANTAO, BHADRAVATHI-577301",50,4,0,,,,
SMG,SHIMOGA,"SHOP NO.07, WARD NO.27, BUDHA NAGAR,(RML NAGARA) SHIMOGA",50,4,0,,,,
KDAP,KUNDAPURA,"D.NO.148-J/V, MAHAKALI TOWERS, CHURCH ROAD,KUNDAPURA, UDUPI (DIS), KARNATAKA-576 201",51,4,0,,,,
UDUP,UDUPI,"D.NO.6-2-142F,TAPCMS BUILDING,NEAR POORNAPRAJNA COLLEGE, UDUPI-576 101",51,4,0,,,,
ANLA,ANKOLA,"SHOP NO:1, PRABHU COMPLEX, NEAR GANAPATHI TEMPLE,,K.C. ROAD,",52,4,0,,,,
BTKA,BHATKAL,"SHOP-P07, INCHRA BUILDING, KADVINKTTE,BHATKAL, NEAR NAGPPA NAIK ROAD, BHATKAL-581 320",52,4,0,,,,
KAWR,KARWAR,"SURVEY NO.62/A1, SHOP NO.G2, YASHODA NANU BELURKAR,Sai Katta, Kodibag (Village),Karwar, Uttara Kannad",52,4,0,,,,
SRSI,SIRSI,"NO.2-1-2-62, SHANTARAM SADANA, OPP.ALEKA GATEWAY ,hotel, siddapur road,akshaya bigil,sirsi-581401",52,4,0,,,,
ICKJ,ICHALKARANJI,"SURVEY 28 WARD 8, CHANDAN SADHU BUILDING, VIKRAMNA,shahapur road, iccalakaranji-416115",57,6,0,,,,
KPGN,KOLHAPUR - GANDHI NAGAR,"H.NO.4040, NIGADE WADI, UCHAGAON,KOLHAPUR-416005,NEAR JANATA BANK, MAHARASHTRA,",57,6,0,,,,
KPSH,KOLHAPUR - SHIROLI,"SURVEY NO.444,HISSA NO.B,100/2,AMBEDKAR NAGAR,NAGAON (TAL),HATKANANGLE, KOLHAPUR-416122",57,6,0,,,,
SGLI,SANGLI,"DOOR NO 147,NEAR GANESH TEMPLE,OPP AWANTI STEEL,,ROCKEL LINE-1,VAKARBHAGH AREA,SANGLI (DIST),MAHARASHTRA STATE",58,6,0,,,,
KRAD,KARAD,"SHOP NO2306, ARUNODAYA BUILDINGG, SHIVARAJ COLONY,near kaka vain, nh-4, malkpur, krad415539",59,6,0,,,,
STRA,SATARA,"PLOT NO P-6, NEAR DIC OFFICE,OLD MIDC,SATARA,MAHARASHTRA-415004, JILLA UDYAG KHINDAR",59,6,0,,,,
BDAR,BIDAR,"H.NO.9/6/235, BACKSIDE OF MASUDI KIRANA MARKET,Gandhi Gunj, Bidar",53,4,0,,,,
GLBA,KALBURGI,"PLOT NO.111, SURVEY NO.19/P, 20(P), SHIKROZA,,MGTT, AUTONAGAR, GULBARGA, KARNATAKA-585101",54,4,0,,,,
INDN,INDORE DEWASNAKA,"D.NO:90/18,OPP ESSAR PETROL PUMP,LASUDIAMORI,,A.B ROAD,DEWASNAKA, INDORE DISTRICT",56,5,0,,,,
INPR,INDORE PITHAMPUR,"SHOP NO:65, SARVESHWAR NAGAR, GOOD LUCK SQUARE,,SECTOR-1, PITHAMPUR, MADHAYA PRADESH",56,5,0,,,,
