consignorId,consigneeName,address1,cityId,branchId
49,SUGAM PHARMACY,"Door no. 107A, SOUTH WEST CORNER WEST FACING GROUND FLOOR GST ROAD CHROMPET",142,113
49,VIJAYPRIYA HEALTH CARE,"DR NO.12-468B, G 106, B-SREE MAHENDRA ENCHAVE BESIDES HIGHWAY TOWERS, BYPASS ROAD,TADEPALLI,GUNTUR",259,576
49,DR.S.N.HIREMATH,"# 180 GURUHREE HOSPITIAL, 3RD MAIN 8TH CROSS PJ EXTENSION,DAVANGERE",181,152
49,V CARE PHARMA,#39/16 sommasundram 2nd street ayanavaram chennai ,142,112
49,SIR IVAN STEDFORD HOSPITAL PHARMACY,"ROOM NO 36,G.F, SIR IVAN HOSPITAL NO.2, M.T.H ROAD, THIRUMULAVOYAL , CHENNAI",142,116
49,VIJAYAPRIYA HEALTH CARE,"Door no.12-4688, G, 106, B-sree Mahendra Enclave beside Highway Towers, Bypass Road tadepalli village Guntur-522501",259,576
49,SRI KRISH MEDICAL SOLUTIONS,sp.v soundravalli illam no 42-a first floor raghupathi layout saibaba colony COIMBATORE,171,449
49,HEALTH MART,"DR . NO 16-11-667/6,TS.NO 152/1B2, R.S NO.15/1B2P3 FRIST FLR, KAIRANNA BULIDING, BALMATTA NEW ROAD D.K DISTRIC MANGALURU-575001",486,151
49,SAI SUSHMITHA AND GENERAL STORES INSIDE PHARMACY OF SRI SANTHOSHI,"1-18-123/C32/NR,DR.A.S Rao nagar main road,Malkajgiri Municipality and Mandal,Medchal,Malkajgiri",292,219
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,MAX HYPER MARKET INDIA PRIVATE LIMITED,KS RAO ROAD MANGALORE,486,151
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,"Avenue Supermarts Ltd.,",ATTAVAR ROAD MANGALORE,486,151
59,LOCALBUY TECHNOLOGIES PRIVATE LIMITED,KSRME COLLEGE POST,326,96
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,SREE SAI ENTERPRISES,SHIRDI PURAM COLONY,664,195
59,VASAVI ENTERPRISES,ALKAPURI TOWNSHIP PUPPALAGUDA,674,195
59,MAX HYPER MARKET INDIA PRIVATE LIMITED,JAWAHARLAL NEHRU ROAD ANNA NAGAR,142,123
59,MAX HYPER MARKET INDIA PRIVATE LIMITED,ARCOT ROAD VADAPALANI,142,123
59,MAX HYPER MARKET INDIA PRIVATE LIMITED,SATHY MAIN ROAD SIVANATHPURAM,171,450
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, MSR Nagar Nellore Dmart, MSR Nagar, Nellore",574,389
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, Tirupathi Andhra Pradesh Dmart, A I R Bypass Road, Tirupathi, Chittoor",786,510
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,"Avenue Supermarts Ltd.,",NH DARE BAIL MANGALORE,486,151
59,VASAVI ENTERPRISES,ALKAPURI TOWNSHIP PUPPULAGUDA,674,195
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,DESI TEA TIME,GAJAPATHI NAGAR THADITHOTA,669,436
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO 165/P, MARIKA VALASA, VISAKHAPATNA",820,544
59,SRI VINAYAKA DISTRIBUTORS,YAPRAL KINDI BASTI,504,278
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,Metro Cash N Carry,MOGALRAJPURAM VIJAYAWADA,822,608
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,Metro Cash N Carry,METRO TUMAKURU,792,89
59,ANJAPPAR CHETTINAD A/C RESTUARANT,VALLANCHERRY VILLAGE CHENGALPET,142,109
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,"Avenue Supermarts Ltd.,",UDUPI CITY MUNCIPALITY,795,167
59,RUTUJA TRADERS,BHATTA GALLI HANMNTWADI,399,174
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO. 447/2, DOOR NO. 15-13-30, GUNTUR.",259,575
59,VASAVI ENTERPRISES,ALKAPURI TOWNSHIP PUPPALAGUDA,674,195
59,SRI VINAYAKA DISTRIBUTORS,YAPRAL KINDI BASTI,504,278
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,SANGAMESHWARA FOODS,VBR COLONY OLD ALWAL,504,278
59,SANGAMESHWARA FOODS,VBR COLONY OLD ALWAL,504,278
59,LAXMI VENKATESHWRA AGENCIES,JAYANTHI VENKATA RAMANA GUNTAKAL,258,22
59,SRI LAXMI SATHYANARAYANA MARKETING,GODOWN STREET PRODDATTUR,654,103
59,SRIVEN MARKETERS,GIRI STREET SATYANARAYANAPURAM,822,608
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
